price,title,url,location,area_m2,typology,source_file,price_per_m2,furnished,balcony,terrace,ac,elevator,parking,kitchen_equipped,renovated,bills_included,bathrooms,bedrooms,value_score
1100,"Apartamento T3 na Rua dos Lusíadas, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34788477/,"Rua dos Lusíadas, Alto de Santo Amaro, Alcântara",95,T3,data/lisboa_alcantara_listings.csv,11.578947368421051,False,False,False,False,,False,False,False,False,,,51.421052631578945
1100,"Apartamento T2 na Travessa das Dores, 19, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34821294/,"Travessa das Dores, 19, Boa Hora, Ajuda",78,T2,data/lisboa_ajuda_listings.csv,14.102564102564102,False,False,False,False,,False,False,False,False,,,45.8974358974359
1100,"Apartamento T1 na Rua da Indústria, 33, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/30445095/,"Rua da Indústria, 33, Alto de Santo Amaro, Alcântara",75,T1,data/lisboa_alcantara_listings.csv,14.666666666666666,False,False,False,False,,False,False,False,False,,,40.333333333333336
950,"Apartamento T1 na Rua Indústria, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/30166333/,"Rua Indústria, Alto de Santo Amaro, Alcântara",60,T1,data/lisboa_alcantara_listings.csv,15.833333333333334,False,False,False,False,,False,False,False,False,,,39.166666666666664
1150,"Apartamento T1 em Junqueira, Alcântara",https://www.idealista.pt/imovel/34750866/,,68,T1,data/lisboa_alcantara_listings.csv,16.91176470588235,False,False,False,False,,False,False,False,False,,,38.08823529411765
900,"Apartamento T1 em Boa Hora, Ajuda",https://www.idealista.pt/imovel/34555773/,,50,T1,data/lisboa_ajuda_listings.csv,18.0,False,False,False,False,,False,False,False,False,,,35.0
850,"Apartamento T2 na Rua da Junqueira, 1, Junqueira, Alcântara",https://www.idealista.pt/imovel/34736072/,"Rua da Junqueira, 1, Junqueira, Alcântara",40,T2,data/lisboa_alcantara_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,34.75
995,"Apartamento T1 na Rua José Osório de Oliveira, 8, Boa Hora, Ajuda",https://www.idealista.pt/imovel/29838642/,"Rua José Osório de Oliveira, 8, Boa Hora, Ajuda",50,T1,data/lisboa_ajuda_listings.csv,19.9,False,False,False,False,,False,False,False,False,,,33.1
1100,"Apartamento T1 em Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34826169/,,55,T1,data/lisboa_alcantara_listings.csv,20.0,False,False,False,False,,False,False,False,False,,,33.0
1139,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34774860/,,55,T1,data/lisboa_ajuda_listings.csv,20.70909090909091,False,False,False,False,,False,False,False,False,,,32.29090909090909
1173,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34777785/,,55,T1,data/lisboa_ajuda_listings.csv,21.327272727272728,False,False,False,False,,False,False,False,False,,,31.672727272727272
1173,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/33113676/,,55,T1,data/lisboa_ajuda_listings.csv,21.327272727272728,False,False,False,False,,False,False,False,False,,,31.672727272727272
870,"Apartamento T1 na Rua 1º de Maio, 69, Alto de Santo Amaro, Alcântara",https://www.idealista.pt/imovel/34824570/,"Rua 1º de Maio, 69, Alto de Santo Amaro, Alcântara",45,T1,data/lisboa_alcantara_listings.csv,19.33333333333333,False,False,False,False,,False,False,False,False,,,31.66666666666667
950,"Apartamento T1 na Travessa São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/31161260/,"Travessa São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",45,T1,data/lisboa_alcantara_listings.csv,21.11111111111111,False,False,False,False,,False,False,False,False,,,29.88888888888889
1100,"Apartamento T2 na Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/33157926/,"Rua Cruz a Alcântara, 36, Alvito - Quinta do Jacinto, Alcântara",42,T2,data/lisboa_alcantara_listings.csv,26.19047619047619,False,False,False,False,,False,False,False,False,,,29.80952380952381
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34812075/,,40,T0,data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/33110276/,,40,T0,data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/33110275/,,40,T0,data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75
850,"Apartamento T0 no Beco João Alves, 3, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34814425/,,40,T0,data/lisboa_ajuda_listings.csv,21.25,False,False,False,False,,False,False,False,False,,,29.75
955,"Apartamento T0 na Travessa de São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",https://www.idealista.pt/imovel/34824242/,"Travessa de São Jerónimo, 2, Alvito - Quinta do Jacinto, Alcântara",44,T0,data/lisboa_alcantara_listings.csv,21.704545454545453,False,False,False,False,,False,False,False,False,,,29.295454545454547
870,"Apartamento T0 na Rua Giovanni Antinori, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34284629/,"Rua Giovanni Antinori, 4, Rio Seco - Casalinho, Ajuda",40,T0,data/lisboa_ajuda_listings.csv,21.75,False,False,False,False,,False,False,False,False,,,29.25
