price,title,url,area_m2,typology,location
1400,"Andar de moradia em Alto da Ajuda, Ajuda",https://www.idealista.pt/imovel/34861352/,122,,
2000,"Apartamento T2 na Travessa Dom Vasco, 25, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34819309/,79,T2,"Travessa Dom Vasco, 25, Centro da Ajuda, Ajuda"
1380,"Apartamento T1 no Beco João Alves, 6, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34861239/,55,T1,
1660,"Apartamento T2 na Rua General José Paulo Fernandes, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/32527085/,78,T2,"Rua General José Paulo Fernandes, Centro da Ajuda, Ajuda"
2200,"Moradia na Rua Raúl Proença, 47, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34859255/,65,,"Rua Raúl Proença, 47, Caramão da Ajuda, Ajuda"
980,"Andar de moradia na Estrada da Cruz, 92, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34851376/,65,,"Estrada da Cruz, 92, Caramão da Ajuda, Ajuda"
980,"Apartamento T1 na Estrada da cruz, 94, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/31443190/,60,T1,"Estrada da cruz, 94, Caramão da Ajuda, Ajuda"
4850,"Apartamento T3 na Rua General João de Almeida, 2, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34847198/,168,T3,"Rua General João de Almeida, 2, Calçada da Ajuda - Belém, Ajuda"
1600,"Duplex na Rua do Cruzeiro, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34385976/,100,,"Rua do Cruzeiro, Rio Seco - Casalinho, Ajuda"
1500,"Apartamento T1 na Travessa Dom Vasco, 55, Centro da Ajuda, Ajuda",https://www.idealista.pt/imovel/34847826/,111,T1,"Travessa Dom Vasco, 55, Centro da Ajuda, Ajuda"
1400,"Apartamento T1,  Calçada da Ajuda, s/n, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/33985483/,70,T1,
1500,"Apartamento T2 na Travessa da Madressilva, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/33508292/,50,T2,"Travessa da Madressilva, Calçada da Ajuda - Belém, Ajuda"
4400,"Apartamento T3 na Rua General João de Almeida, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34850718/,182,T3,"Rua General João de Almeida, Calçada da Ajuda - Belém, Ajuda"
4950,"Moradia em banda na Rua Preta Constança, 17, Caramão da Ajuda, Ajuda",https://www.idealista.pt/imovel/34819618/,120,,"Rua Preta Constança, 17, Caramão da Ajuda, Ajuda"
1750,"Apartamento T2 em Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34167417/,50,T2,
1400,"Apartamento T2 na Rua do Guarda-Jóias, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34345313/,60,T2,"Rua do Guarda-Jóias, Boa Hora, Ajuda"
1150,"Apartamento T1 na Rua Paz à Ajuda, 8, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34826998/,40,T1,"Rua Paz à Ajuda, 8, Calçada da Ajuda - Belém, Ajuda"
1290,"Apartamento T2 na Rua Alfredo da Silva, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34298997/,60,T2,"Rua Alfredo da Silva, Boa Hora, Ajuda"
1250,"Apartamento T1,  Pátio Batista, 4, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34798210/,41,T1,
1265,"Apartamento T1 no Beco João Alves, 4, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34849747/,55,T1,
1250,"Apartamento T1,  Pátio Batista, 4, Calçada da Ajuda - Belém, Ajuda",https://www.idealista.pt/imovel/34758918/,40,T1,
1500,"Apartamento T2 na Rua do Guarda-Jóias, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34806528/,100,T2,"Rua do Guarda-Jóias, Boa Hora, Ajuda"
1265,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34806508/,43,T1,
1380,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34811805/,44,T1,
1380,"Apartamento T1 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34793686/,43,T1,
1805,"Apartamento T2 na Rua Alfredo da Silva, Boa Hora, Ajuda",https://www.idealista.pt/imovel/34807614/,70,T2,"Rua Alfredo da Silva, Boa Hora, Ajuda"
1173,"Apartamento T0 no Beco João Alves, Rio Seco - Casalinho, Ajuda",https://www.idealista.pt/imovel/34806511/,24,T0,
