price,title,url,typology,location,area_m2
1500,"Apartamento T3 na Praceta do Comércio, 16, Alfragide, Amadora",https://www.idealista.pt/imovel/34857695/,T3,"Praceta do Comércio, 16, Alfragide, Amadora",111
1800,"Apartamento T3 em Alfragide, Amadora",https://www.idealista.pt/imovel/34546059/,T3,,130
1500,"Apartamento T3 na Praceta do Comércio, Alfragide, Amadora",https://www.idealista.pt/imovel/34211912/,T3,"Praceta do Comércio, Alfragide, Amadora",104
1400,"Apartamento T3 na Praça Carlos Aboim Inglez, 4, Alfragide, Amadora",https://www.idealista.pt/imovel/34752406/,T3,"Praça Carlos Aboim Inglez, 4, Alfragide, Amadora",88
1900,"Apartamento T2 na Praceta do Miradouro, 5, Alfragide, Amadora",https://www.idealista.pt/imovel/34726331/,T2,"Praceta do Miradouro, 5, Alfragide, Amadora",147
1400,"Apartamento T3 na Praça António Macedo, 5, Alfragide, Amadora",https://www.idealista.pt/imovel/34841744/,T3,"Praça António Macedo, 5, Alfragide, Amadora",90
3900,"Moradia independente na Avenida Dom Luís I, 2, Alfragide, Amadora",https://www.idealista.pt/imovel/34355121/,,"Avenida Dom Luís I, 2, Alfragide, Amadora",385
1297,"Apartamento T1 na Praceta Dom Luís I, Alfragide, Amadora",https://www.idealista.pt/imovel/34776046/,T1,"Praceta Dom Luís I, Alfragide, Amadora",45
2500,"Apartamento T4 na Praceta das Flores, Alfragide, Amadora",https://www.idealista.pt/imovel/34754736/,T4,"Praceta das Flores, Alfragide, Amadora",174
1000,"Apartamento T2 na Praceta Ângelo Veloso, Alfragide, Amadora",https://www.idealista.pt/imovel/28966744/,T2,"Praceta Ângelo Veloso, Alfragide, Amadora",80
1450,"Apartamento T3 na Avenida Dom Luís I, 39, Alfragide, Amadora",https://www.idealista.pt/imovel/34699916/,T3,"Avenida Dom Luís I, 39, Alfragide, Amadora",73
1250,"Apartamento T0 na Rua Pinheiro Borges, Alfragide, Amadora",https://www.idealista.pt/imovel/34806720/,T0,"Rua Pinheiro Borges, Alfragide, Amadora",35
1200,"Apartamento T2 na Rua das Galegas, Alfragide, Amadora",https://www.idealista.pt/imovel/34811263/,T2,"Rua das Galegas, Alfragide, Amadora",73
1300,"Apartamento T1 na Praceta das Flores, Alfragide, Amadora",https://www.idealista.pt/imovel/34830139/,T1,"Praceta das Flores, Alfragide, Amadora",69
1800,"Apartamento T3 na Praceta das Flores, Alfragide, Amadora",https://www.idealista.pt/imovel/34741281/,T3,"Praceta das Flores, Alfragide, Amadora",145
2500,"Apartamento T4 na Praceta das Flores, Alfragide, Amadora",https://www.idealista.pt/imovel/34760783/,T4,"Praceta das Flores, Alfragide, Amadora",196
1950,"Apartamento T3 na Rua do Miradouro, Alfragide, Amadora",https://www.idealista.pt/imovel/34563010/,T3,"Rua do Miradouro, Alfragide, Amadora",140
1600,"Apartamento T4,  Largo, 4, Alfragide, Amadora",https://www.idealista.pt/imovel/34465926/,T4,,150
2200,"Apartamento T4 na Travessa do Miradouro, 6, Alfragide, Amadora",https://www.idealista.pt/imovel/34774339/,T4,"Travessa do Miradouro, 6, Alfragide, Amadora",147
1300,"Apartamento T2 no Largo 25 de Abril, 5, Alfragide, Amadora",https://www.idealista.pt/imovel/34475594/,T2,,91
1300,"Apartamento T3 na Avenida Almeida Garrett, 1, Alfragide, Amadora",https://www.idealista.pt/imovel/34755253/,T3,"Avenida Almeida Garrett, 1, Alfragide, Amadora",130
1200,"Apartamento T2 na Praceta Raúl Brandão, 1, Alfragide, Amadora",https://www.idealista.pt/imovel/34740543/,T2,"Praceta Raúl Brandão, 1, Alfragide, Amadora",74
1300,"Apartamento T3 na Rua Cerrado do Zambujeiro, 27, Alfragide, Amadora",https://www.idealista.pt/imovel/34728005/,T3,"Rua Cerrado do Zambujeiro, 27, Alfragide, Amadora",100
1500,"Apartamento T3 na Praceta do Comércio, 16, Alfragide, Amadora",https://www.idealista.pt/imovel/34857695/,T3,"Praceta do Comércio, 16, Alfragide, Amadora",111
1800,"Apartamento T3 em Alfragide, Amadora",https://www.idealista.pt/imovel/34546059/,T3,,130
1500,"Apartamento T3 na Praceta do Comércio, Alfragide, Amadora",https://www.idealista.pt/imovel/34211912/,T3,"Praceta do Comércio, Alfragide, Amadora",104
