price,title,url,typology,location,area_m2
1475,"Apartamento T2 na Rua Vitor Bastos, 77, Centro, Campolide",https://www.idealista.pt/imovel/34471008/,T2,"Rua Vitor Bastos, 77, Centro, Campolide",57
3375,"Apartamento T2 na Rua Professor Sousa da Câmara, Centro, Campolide",https://www.idealista.pt/imovel/33201937/,T2,"Rua Professor Sousa da Câmara, Centro, Campolide",93
1750,"Apartamento T2 em Centro, Campolide",https://www.idealista.pt/imovel/34860237/,T2,,146
3390,"Apartamento T3 na Avenida Conselheiro Fernando de Sousa, Centro, Campolide",https://www.idealista.pt/imovel/32627955/,T3,"Avenida Conselheiro Fernando de Sousa, Centro, Campolide",138
1100,"Apartamento T1 na Rua de Campolide, 152, Centro, Campolide",https://www.idealista.pt/imovel/34860028/,T1,"Rua de Campolide, 152, Centro, Campolide",61
1365,"Apartamento T2 na Rua Vítor Bastos, Centro, Campolide",https://www.idealista.pt/imovel/34855469/,T2,"Rua Vítor Bastos, Centro, Campolide",10
1400,"Apartamento T2 em Centro, Campolide",https://www.idealista.pt/imovel/34854762/,T2,,61
2800,"Apartamento T3 na Rua Arco do Carvalhão, 14, Centro, Campolide",https://www.idealista.pt/imovel/34845754/,T3,"Rua Arco do Carvalhão, 14, Centro, Campolide",152
1600,"Apartamento T2 na Rua Conde das Antas, 1, Centro, Campolide",https://www.idealista.pt/imovel/34847908/,T2,"Rua Conde das Antas, 1, Centro, Campolide",100
3000,"Apartamento T3 na Avenida Columbano Bordalo Pinheiro, Praça de Espanha - Sete Rios, Campolide",https://www.idealista.pt/imovel/34638626/,T3,"Avenida Columbano Bordalo Pinheiro, Praça de Espanha - Sete Rios, Campolide",161
9970,"Apartamento T2 em Praça de Espanha - Sete Rios, Campolide",https://www.idealista.pt/imovel/34581816/,T2,,155
1800,"Apartamento T2 na Rua Arco do Carvalhão, 39, Centro, Campolide",https://www.idealista.pt/imovel/34699432/,T2,"Rua Arco do Carvalhão, 39, Centro, Campolide",102
1850,"Apartamento T2 na Rua Arco do Carvalhão, 39, Centro, Campolide",https://www.idealista.pt/imovel/34699397/,T2,"Rua Arco do Carvalhão, 39, Centro, Campolide",102
